date_mesure,geocode_commune,libelle_commune,valeur
2025-01-01T00:00:00.000,14431,Mézidon Vallée d'Auge,9766
2025-01-01T00:00:00.000,08291,Mogues,228
2025-01-01T00:00:00.000,02282,Eppes,438
2025-01-01T00:00:00.000,08402,Saulces-Monclin,837
2025-01-01T00:00:00.000,19099,Lagleygeolle,225
2025-01-01T00:00:00.000,06095,Peymeinade,8514
2025-01-01T00:00:00.000,03030,Biozat,933
2025-01-01T00:00:00.000,01090,Châtenay,373
2025-01-01T00:00:00.000,17105,Chives,317
2025-01-01T00:00:00.000,19260,Sioniac,246
2025-01-01T00:00:00.000,04097,La Javie,376
2025-01-01T00:00:00.000,16139,Fleurac,201
2025-01-01T00:00:00.000,18137,Mareuil-sur-Arnon,487
2025-01-01T00:00:00.000,15137,Moussages,247
2025-01-01T00:00:00.000,16409,Villefagnan,972
2025-01-01T00:00:00.000,08190,Givet,6364
2025-01-01T00:00:00.000,02016,Andelain,212
2025-01-01T00:00:00.000,18114,Ineuil,207
2025-01-01T00:00:00.000,19189,Saint-Bonnet-les-Tours-de-Merle,41
2025-01-01T00:00:00.000,14204,Cricqueville-en-Bessin,168
2025-01-01T00:00:00.000,10368,Savières,1085
2025-01-01T00:00:00.000,17227,Mazerolles,243
2025-01-01T00:00:00.000,02185,Chézy-en-Orxois,389
2025-01-01T00:00:00.000,02808,Villeret,263
2025-01-01T00:00:00.000,07093,Genestelle,266
2025-01-01T00:00:00.000,19108,Laroche-près-Feyt,80
2025-01-01T00:00:00.000,09224,Pailhès,511
2025-01-01T00:00:00.000,14403,Marolles,749
2025-01-01T00:00:00.000,07107,Jaujac,1199
2025-01-01T00:00:00.000,01028,Baneins,621
2025-01-01T00:00:00.000,17215,Lussac,39
2025-01-01T00:00:00.000,09139,L'Hospitalet-près-l'Andorre,85
2025-01-01T00:00:00.000,01259,Montcet,709
2025-01-01T00:00:00.000,07126,Lagorce,1257
2025-01-01T00:00:00.000,11321,Roquefort-de-Sault,85
2025-01-01T00:00:00.000,02744,Torcy-en-Valois,81
